zip,cbsa
00501,35620
01431,14460
01432,14460
01450,14460
01460,14460
01463,14460
01464,14460
01469,14460
01472,14460
01474,14460
01701,14460
01702,14460
01703,14460
01704,14460
01718,14460
01719,14460
01720,14460
01721,14460
01730,14460
01731,14460
01741,14460
01742,14460
01746,14460
01748,14460
01749,14460
01752,14460
01754,14460
01760,14460
01770,14460
01773,14460
01775,14460
01776,14460
01778,14460
01784,14460
01801,14460
01803,14460
01805,14460
01810,14460
01812,14460
01821,14460
01822,14460
01824,14460
01826,14460
01827,14460
01830,14460
01831,14460
01832,14460
01833,14460
01834,14460
01835,14460
01840,14460
01841,14460
01842,14460
01843,14460
01844,14460
01845,14460
01850,14460
01851,14460
01852,14460
01853,14460
01854,14460
01860,14460
01862,14460
01863,14460
01864,14460
01865,14460
01866,14460
01867,14460
01876,14460
01879,14460
01880,14460
01885,14460
01886,14460
01887,14460
01888,14460
01889,14460
01890,14460
01899,14460
01901,14460
01902,14460
01903,14460
01904,14460
01905,14460
01906,14460
01907,14460
01908,14460
01910,14460
01913,14460
01915,14460
01921,14460
01922,14460
01923,14460
01929,14460
01930,14460
01931,14460
01936,14460
01937,14460
01938,14460
01940,14460
01944,14460
01945,14460
01949,14460
01950,14460
01951,14460
01952,14460
01960,14460
01961,14460
01965,14460
01966,14460
01969,14460
01970,14460
01971,14460
01982,14460
01983,14460
01984,14460
01985,14460
02018,14460
02019,14460
02020,14460
02021,14460
02025,14460
02026,14460
02027,14460
02030,14460
02032,14460
02035,14460
02038,14460
02041,14460
02043,14460
02044,14460
02045,14460
02047,14460
02050,14460
02051,14460
02052,14460
02053,14460
02054,14460
02056,14460
02059,14460
02060,14460
02061,14460
02062,14460
02065,14460
02066,14460
02067,14460
02070,14460
02071,14460
02072,14460
02081,14460
02090,14460
02093,14460
02108,14460
02109,14460
02110,14460
02111,14460
02112,14460
02113,14460
02114,14460
02115,14460
02116,14460
02117,14460
02118,14460
02119,14460
02120,14460
02121,14460
02122,14460
02123,14460
02124,14460
02125,14460
02126,14460
02127,14460
02128,14460
02129,14460
02130,14460
02131,14460
02132,14460
02133,14460
02134,14460
02135,14460
02136,14460
02137,14460
02138,14460
02139,14460
02140,14460
02141,14460
02142,14460
02143,14460
02144,14460
02145,14460
02148,14460
02149,14460
02150,14460
02151,14460
02152,14460
02155,14460
02163,14460
02169,14460
02170,14460
02171,14460
02176,14460
02180,14460
02184,14460
02185,14460
02186,14460
02188,14460
02189,14460
02190,14460
02191,14460
02196,14460
02199,14460
02201,14460
02203,14460
02205,14460
02210,14460
02215,14460
02217,14460
02222,14460
02238,14460
02269,14460
02301,14460
02302,14460
02303,14460
02304,14460
02305,14460
02322,14460
02324,14460
02325,14460
02327,14460
02330,14460
02331,14460
02332,14460
02333,14460
02337,14460
02338,14460
02339,14460
02341,14460
02343,14460
02344,14460
02345,14460
02346,14460
02347,14460
02348,14460
02349,14460
02350,14460
02351,14460
02355,14460
02358,14460
02359,14460
02360,14460
02361,14460
02362,14460
02364,14460
02366,14460
02367,14460
02368,14460
02370,14460
02379,14460
02381,14460
02382,14460
02420,14460
02421,14460
02445,14460
02446,14460
02447,14460
02451,14460
02452,14460
02453,14460
02454,14460
02455,14460
02458,14460
02459,14460
02460,14460
02461,14460
02462,14460
02464,14460
02465,14460
02466,14460
02467,14460
02468,14460
02471,14460
02472,14460
02474,14460
02476,14460
02477,14460
02478,14460
02481,14460
02482,14460
02492,14460
02493,14460
02494,14460
02538,14460
02558,14460
02571,14460
02576,14460
02738,14460
02739,14460
02762,14460
02770,14460
03032,14460
03034,14460
03036,14460
03037,14460
03038,14460
03041,14460
03042,14460
03044,14460
03053,14460
03073,14460
03077,14460
03079,14460
03087,14460
03261,14460
03290,14460
03291,14460
03801,14460
03802,14460
03803,14460
03811,14460
03815,14460
03819,14460
03820,14460
03821,14460
03822,14460
03823,14460
03824,14460
03825,14460
03826,14460
03827,14460
03833,14460
03835,14460
03839,14460
03840,14460
03841,14460
03842,14460
03843,14460
03844,14460
03848,14460
03851,14460
03852,14460
03854,14460
03855,14460
03856,14460
03857,14460
03858,14460
03859,14460
03861,14460
03862,14460
03865,14460
03866,14460
03867,14460
03868,14460
03869,14460
03870,14460
03871,14460
03873,14460
03874,14460
03878,14460
03884,14460
03885,14460
03887,14460
05501,14460
06390,35620
07001,35620
07002,35620
07003,35620
07004,35620
07005,35620
07006,35620
07007,35620
07008,35620
07009,35620
07010,35620
07011,35620
07012,35620
07013,35620
07014,35620
07015,35620
07016,35620
07017,35620
07018,35620
07019,35620
07020,35620
07021,35620
07022,35620
07023,35620
07024,35620
07026,35620
07027,35620
07028,35620
07029,35620
07030,35620
07031,35620
07032,35620
07033,35620
07034,35620
07035,35620
07036,35620
07039,35620
07040,35620
07041,35620
07042,35620
07043,35620
07044,35620
07045,35620
07046,35620
07047,35620
07050,35620
07051,35620
07052,35620
07054,35620
07055,35620
07057,35620
07058,35620
07059,35620
07060,35620
07061,35620
07062,35620
07063,35620
07064,35620
07065,35620
07066,35620
07067,35620
07068,35620
07069,35620
07070,35620
07071,35620
07072,35620
07073,35620
07074,35620
07075,35620
07076,35620
07077,35620
07078,35620
07079,35620
07080,35620
07081,35620
07082,35620
07083,35620
07086,35620
07087,35620
07088,35620
07090,35620
07091,35620
07092,35620
07093,35620
07094,35620
07095,35620
07096,35620
07097,35620
07099,35620
07101,35620
07102,35620
07103,35620
07104,35620
07105,35620
07106,35620
07107,35620
07108,35620
07109,35620
07110,35620
07111,35620
07112,35620
07114,35620
07175,35620
07201,35620
07202,35620
07203,35620
07204,35620
07205,35620
07206,35620
07207,35620
07208,35620
07302,35620
07303,35620
07304,35620
07305,35620
